timestamp,gesture,total_fingers,message,sms_sent,voice_played
2025-08-15 19:06:03,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-08-15 19:06:19,5,5,"உங்கள் உதவி தேவை!",0,1
2025-08-15 19:06:30,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-08-15 19:06:33,5,5,"உங்கள் உதவி தேவை!",0,1
2025-08-15 19:11:43,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-08-15 19:11:47,3,3,"எனக்கு தண்ணீர் வேண்டும்!",0,1
2025-08-15 19:12:16,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-08-15 19:12:20,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-08-15 19:12:27,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-08-15 19:12:33,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-08-15 19:12:39,3,3,"எனக்கு தண்ணீர் வேண்டும்!",0,1
2025-08-15 19:12:42,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-08-15 19:13:01,5,5,"உங்கள் உதவி தேவை!",0,1
2025-08-15 19:13:24,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-22 15:40:45,5,5,"உங்கள் உதவி தேவை!",0,0
2025-09-22 15:43:11,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-22 15:43:24,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-22 15:43:35,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-22 15:43:43,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-22 15:43:54,3,3,"எனக்கு தண்ணீர் வேண்டும்!",0,1
2025-09-22 15:44:00,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-09-22 15:44:13,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-22 15:44:23,3,3,"எனக்கு தண்ணீர் வேண்டும்!",0,1
2025-09-22 15:44:42,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-22 15:45:12,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-22 15:45:20,10,10,"அவசரம்! உடனடி உதவி தேவை!",0,1
2025-09-22 15:45:23,9,9,"சிறிது ஓய்வு வேண்டும்!",0,1
2025-09-22 15:45:37,8,8,"எனக்கு மருந்து வேண்டும்!",0,1
2025-09-22 15:45:48,7,7,"மருத்துவரை அழைக்கவும்!",0,1
2025-09-30 15:42:54,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-30 15:43:01,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-30 15:43:11,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-09-30 15:43:15,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-30 15:43:18,2,2,"கழிவறைக்குச் செல்ல வேண்டும்!",0,1
2025-09-30 15:43:25,10,10,"அவசரம்! உடனடி உதவி தேவை!",0,1
2025-09-30 15:43:30,9,9,"சிறிது ஓய்வு வேண்டும்!",0,1
2025-09-30 15:44:36,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-30 16:02:39,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-30 16:02:42,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-30 16:02:46,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-30 16:02:52,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-30 16:03:04,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-30 16:03:09,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-30 16:03:48,5,5,"உங்கள் உதவி தேவை!",0,1
2025-09-30 16:03:55,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-30 16:05:47,1,1,"எனக்கு உணவு வேண்டும்!",0,1
2025-09-30 16:20:48,3,3,"எனக்கு தண்ணீர் வேண்டும்!",0,1
2025-09-30 16:20:54,4,4,"எனக்கு வலி உள்ளது!",0,1
2025-09-30 16:20:58,5,5,"உங்கள் உதவி தேவை!",0,1
